"Epic Id","CPT4 Code","Epic name","CPT4 name"
"1076964600","69646",RADICAL TYMPANOPLASTY WITH MASTOIDOTOMY AND OSSICULAR CHAIN RECONSTRUCTION,"Tympanoplasty with mastoidectomy (including canalplasty, middle ear surgery, tympanic membrane repair); radical or complete, with ossicular chain reconstruction"
"1076965000","69650",STAPES MOBILIZATION,Stapes mobilization
"1076966000","69660",STAPEDOTOMY WITH REESTABLISHMENT OF OSSICULAR CONTINUITY USING FOREIGN MATERIAL,"Stapedectomy or stapedotomy with reestablishment of ossicular continuity, with or without use of foreign material"
"1076966100","69661",STAPEDOTOMY WITH REESTABLISHMENT OF OSSICULAR CONTINUITY AND DRILL-OUT OF FOOTPLATE,"Stapedectomy or stapedotomy with reestablishment of ossicular continuity, with or without use of foreign material; with footplate drill out"
"1076966200","69662",REVISION OF STAPEDOTOMY,Revision of stapedectomy or stapedotomy
"1076966600","69666",REPAIR OF OVAL WINDOW FISTULA,Repair oval window fistula
"1076966700","69667",REPAIR OF ROUND WINDOW FISTULA,Repair round window fistula
"1076967000","69670",MASTOID OBLITERATION,Mastoid obliteration (separate procedure)
"1076967600","69676",TYMPANIC NEURECTOMY,Tympanic neurectomy
"1076970000","69700",CLOSURE OF POSTAURICULAR MASTOID FISTULA,"Closure postauricular fistula, mastoid (separate procedure)"
"1076971000","69710",REPLACEMENT OF ELECTROMAGNETIC BONE CONDUCTION HEARING DEVICE IN TEMPORAL BONE,Implantation or replacement of electromagnetic bone conduction hearing device in temporal bone
"1076971100","69711",REPAIR OF ELECTROMAGNETIC BONE CONDUCTION HEARING DEVICE IN TEMPORAL BONE,Removal or repair of electromagnetic bone conduction hearing device in temporal bone
"1076971400","69714",IMPLANTATION OF OSSEOINTEGRATED IMPLANT IN TEMPORAL BONE WITH PERCUTANEOUS ATTACHMENT TO EXTERNAL SPEECH PROCESSOR,"Implantation, osseointegrated implant, temporal bone, with percutaneous attachment to external speech processor/cochlear stimulator; without mastoidectomy"
"1076971500","69715",IMPLANTATION OF OSSEOINTEGRATED IMPLANT IN TEMPORAL BONE WITH PERCUTANEOUS ATTACHMENT TO EXTERNAL SPEECH PROCESSOR AND MASTOIDECTOMY,"Implantation, osseointegrated implant, temporal bone, with percutaneous attachment to external speech processor/cochlear stimulator; with mastoidectomy"
"1076971700","69717",REMOVAL AND REPLACEMENT OF OSSEOINTEGRATED IMPLANT IN TEMPORAL BONE WITH PERCUTANEOUS ATTACHMENT TO EXTERNAL SPEECH PROCESSOR,"Replacement (including removal of existing device), osseointegrated implant, temporal bone, with percutaneous attachment to external speech processor/cochlear stimulator; without mastoidectomy"
"1076971800","69718",REMOVAL AND REPLACEMENT OF OSSEOINTEGRATED IMPLANT IN TEMPORAL BONE WITH PERCUTANEOUS ATTACHMENT TO EXTERNAL SPEECH WITH MASTOIDECTOMY,"Replacement (including removal of existing device), osseointegrated implant, temporal bone, with percutaneous attachment to external speech processor/cochlear stimulator; with mastoidectomy"
"1076972000","69720",DECOMPRESSION OF INTRATEMPORAL FACIAL NERVE,"Decompression facial nerve, intratemporal; lateral to geniculate ganglion"
"1076972500","69725",DECOMPRESSION OF INTRATEMPORAL FACIAL NERVE,"Decompression facial nerve, intratemporal; including medial to geniculate ganglion"
"1076974000","69740",SUTURE OF INTRATEMPORAL FACIAL NERVE WITH GRAFT,"Suture facial nerve, intratemporal, with or without graft or decompression; lateral to geniculate ganglion"
"1076974500","69745",SUTURE OF INTRATEMPORAL FACIAL NERVE WITH GRAFT,"Suture facial nerve, intratemporal, with or without graft or decompression; including medial to geniculate ganglion"
"1076979900","69799",PROCEDURE ON MIDDLE EAR,"Unlisted procedure, middle ear"
"1076980100","69801",LABYRINTHOTOMY BY TRANSCANAL APPROACH WITH PERFUSION OF VESTIBULOACTIVE DRUG,"Labyrinthotomy, with perfusion of vestibuloactive drug(s), transcanal"
"1076980500","69805",ENDOLYMPHATIC SAC OPERATION,Endolymphatic sac operation; without shunt
"1076980600","69806",ENDOLYMPHATIC SAC OPERATION WITH SHUNT,Endolymphatic sac operation; with shunt
"1076982000","69820",FENESTRATION OF SEMICIRCULAR CANAL,Fenestration semicircular canal
"1076984000","69840",REVISION OF FENESTRATION OPERATION,Revision fenestration operation
"1076990500","69905",LABYRINTHECTOMY BY TRANSCANAL APPROACH,Labyrinthectomy; transcanal
"1076991000","69910",LABYRINTHECTOMY WITH MASTOIDECTOMY,Labyrinthectomy; with mastoidectomy
"1076991500","69915",VESTIBULAR NERVE SECTION BY TRANSLABYRINTHINE APPROACH,"Vestibular nerve section, translabyrinthine approach"
"1076993000","69930",COCHLEAR DEVICE IMPLANTATION WITH MASTOIDECTOMY,"Cochlear device implantation, with or without mastoidectomy"
"1076994900","69949",PROCEDURE ON INNER EAR,"Unlisted procedure, inner ear"
"1076995000","69950",VESTIBULAR NERVE SECTION BY TRANSCRANIAL APPROACH,"Vestibular nerve section, transcranial approach"
"1076995500","69955",COMPLETE FACIAL NERVE REPAIR USING GRAFT,Total facial nerve decompression and/or repair (may include graft)
"1076996000","69960",DECOMPRESSION OF INTERNAL AUDITORY CANAL,Decompression internal auditory canal
"1076997000","69970",REMOVAL OF TUMOR OF TEMPORAL BONE,"Removal of tumor, temporal bone"
"1076997900","69979",PROCEDURE ON TEMPORAL BONE BY MIDDLE FOSSA APPROACH,"Unlisted procedure, temporal bone, middle fossa approach"
"1076999000","69990",MICROSURGICAL PROCEDURE USING OPERATING MICROSCOPE,"Microsurgical techniques, requiring use of operating microscope (List separately in addition to code for primary procedure)"
"1077370600","73706","COMPUTED TOMOGRAPHIC ANGIOGRAPHY,LOWER EXTREMITY W/CONTRAST,INCLUDING NONCONTRAST IMAGES","Computed tomographic angiography, lower extremity, with contrast material(s), including noncontrast images, if performed, and image postprocessing"
"1077430000","74300","CHOLANGIOGRAPHY AND/OR PANCREATOGRAPHY; INTRAOPERATIVE, RAD SUPERVISION & INTERPRET","Cholangiography and/or pancreatography; intraoperative, radiological supervision and interpretation"
"1077442000","74420","UROGRAPHY, RETROGRADE, W/W/O KUB","Urography, retrograde, with or without KUB"
"1077443000","74430","CYSTOGRAPHY, MINIMUM OF THREE VIEWS, RADIOLOGICAL SUPERVISION AND INTERPRETATION","Cystography, minimum of 3 views, radiological supervision and interpretation"
"1077445000","74450","URETHROCYSTOGRAPHY, RETROGRADE, RADIOLOGICAL SUPERVISION AND INTERPRETATION","Urethrocystography, retrograde, radiological supervision and interpretation"
"1077445500","74455","(RADIOLOGY CODE) - URETHROCYSTOGRAPHY, VOIDING, RAD SUPERVISION & INTERPRET","Urethrocystography, voiding, radiological supervision and interpretation"
"1077560500","75605","AORTOGRAPHY, THORACIC, BY SERIALOGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION","Aortography, thoracic, by serialography, radiological supervision and interpretation"
"1077562500","75625","AORTOGRAPHY, ABDOMINAL, BY SERIALOGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION","Aortography, abdominal, by serialography, radiological supervision and interpretation"
"1077563000","75630","AORTOGRAPHY, ABD, BIL ILIOFEMORAL LOWER EXT, CATHETER, BY SERIALOGRAPHY, RAD SUPERVISION & INTERPR","Aortography, abdominal plus bilateral iliofemoral lower extremity, catheter, by serialography, radiological supervision and interpretation"
"1077571000","75710","ANGIOGRAPHY, EXTREMITY, UNILATERAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION","Angiography, extremity, unilateral, radiological supervision and interpretation"
"1076796600","67966",FULL THICKNESS EXCISION AND REPAIR OF EYELID WITH PREPARATION FOR PEDICLE FLAP,"Excision and repair of eyelid, involving lid margin, tarsus, conjunctiva, canthus, or full thickness, may include preparation for skin graft or pedicle flap with adjacent tissue transfer or rearrangement; over one-fourth of lid margin"
"1076797100","67971",FIRST STAGE OF FULL THICKNESS RECONSTRUCTION OF EYELID BY TRANSFER OF TARSOCONJUNCTIVAL FLAP FROM OPPOSING EYELID,"Reconstruction of eyelid, full thickness by transfer of tarsoconjunctival flap from opposing eyelid; up to two-thirds of eyelid, 1 stage or first stage"
"1076797300","67973",FIRST STAGE OF FULL THICKNESS RECONSTRUCTION OF ENTIRE LOWER EYELID BY TRANSFER OF TARSOCONJUNCTIVAL FLAP FROM OPPOSING EYELID,"Reconstruction of eyelid, full thickness by transfer of tarsoconjunctival flap from opposing eyelid; total eyelid, lower, 1 stage or first stage"
"1076797400","67974",FIRST STAGE OF FULL THICKNESS RECONSTRUCTION OF ENTIRE UPPER EYELID BY TRANSFER OF TARSOCONJUNCTIVAL FLAP FROM OPPOSING EYELID,"Reconstruction of eyelid, full thickness by transfer of tarsoconjunctival flap from opposing eyelid; total eyelid, upper, 1 stage or first stage"
"1076797500","67975",SECOND STAGE OF FULL THICKNESS RECONSTRUCTION OF EYELID BY TRANSFER OF TARSOCONJUNCTIVAL FLAP FROM OPPOSING EYELID,"Reconstruction of eyelid, full thickness by transfer of tarsoconjunctival flap from opposing eyelid; second stage"
"1076799900","67999",PROCEDURE ON EYELID,"Unlisted procedure, eyelids"
"1076802000","68020",INCISION AND DRAINAGE OF CONJUNCTIVAL CYST,"Incision of conjunctiva, drainage of cyst"
"1076804000","68040",EXPRESSION OF CONJUNCTIVAL FOLLICLE,"Expression of conjunctival follicles (eg, for trachoma)"
"1076810000","68100",BIOPSY OF CONJUNCTIVA,Biopsy of conjunctiva
"1076811000","68110",EXCISION OF LESION OF CONJUNCTIVA,"Excision of lesion, conjunctiva; up to 1 cm"
"1076811500","68115",EXCISION OF LESION OF CONJUNCTIVA,"Excision of lesion, conjunctiva; over 1 cm"
"1076813000","68130",EXCISION OF LESION OF CONJUNCTIVA AND ADJACENT SCLERA,"Excision of lesion, conjunctiva; with adjacent sclera"
"1076813500","68135",DESTRUCTION OF LESION OF CONJUNCTIVA,"Destruction of lesion, conjunctiva"
"1076820000","68200",SUBCONJUNCTIVAL INJECTION,Subconjunctival injection
"1076832000","68320",CONJUNCTIVOPLASTY WITH CONJUNCTIVAL REARRANGEMENT,Conjunctivoplasty; with conjunctival graft or extensive rearrangement
"1076832500","68325",CONJUNCTIVOPLASTY WITH BUCCAL MUCOUS MEMBRANE GRAFT,Conjunctivoplasty; with buccal mucous membrane graft (includes obtaining graft)
"1076832600","68326",RECONSTRUCTION OF CONJUNCTIVAL CUL-DE-SAC WITH CONJUNCTIVAL REARRANGEMENT,"Conjunctivoplasty, reconstruction cul-de-sac; with conjunctival graft or extensive rearrangement"
"1076832800","68328",RECONSTRUCTION OF CONJUNCTIVAL CUL-DE-SAC USING BUCCAL MUCOUS MEMBRANE GRAFT,"Conjunctivoplasty, reconstruction cul-de-sac; with buccal mucous membrane graft (includes obtaining graft)"
"1076833000","68330",REPAIR OF SYMBLEPHARON BY CONJUNCTIVOPLASTY,"Repair of symblepharon; conjunctivoplasty, without graft"
"1076833500","68335",REPAIR OF SYMBLEPHARON USING FREE GRAFT OF CONJUNCTIVA,Repair of symblepharon; with free graft conjunctiva or buccal mucous membrane (includes obtaining graft)
"1076834000","68340",DIVISION OF SYMBLEPHARON WITH INSERTION OF CONTACT LENS,"Repair of symblepharon; division of symblepharon, with or without insertion of conformer or contact lens"
"1076836000","68360",PARTIAL CONJUNCTIVAL FLAP,Conjunctival flap; bridge or partial (separate procedure)
"1076836200","68362",COMPLETE CONJUNCTIVAL FLAP,Conjunctival flap; total (such as Gunderson thin flap or purse string flap)
"1076837100","68371",HARVEST OF CONJUNCTIVAL ALLOGRAFT FROM LIVING DONOR,"Harvesting conjunctival allograft, living donor"
"1076839900","68399",PROCEDURE ON CONJUNCTIVA,"Unlisted procedure, conjunctiva"
"1076840000","68400",INCISION AND DRAINAGE OF LACRIMAL GLAND,"Incision, drainage of lacrimal gland"
"1076842000","68420",INCISION AND DRAINAGE OF LACRIMAL SAC,"Incision, drainage of lacrimal sac (dacryocystotomy or dacryocystostomy)"
"1076850000","68500",COMPLETE EXCISION OF LACRIMAL GLAND,"Excision of lacrimal gland (dacryoadenectomy), except for tumor; total"
"1076850500","68505",PARTIAL EXCISION OF LACRIMAL GLAND,"Excision of lacrimal gland (dacryoadenectomy), except for tumor; partial"
"1076851000","68510",BIOPSY OF LACRIMAL GLAND,Biopsy of lacrimal gland
"1076852000","68520",EXCISION OF LACRIMAL SAC,Excision of lacrimal sac (dacryocystectomy)
"1076852500","68525",BIOPSY OF LACRIMAL SAC,Biopsy of lacrimal sac
"1076853000","68530",REMOVAL OF FOREIGN BODY FROM LACRIMAL PASSAGE,"Removal of foreign body or dacryolith, lacrimal passages"
"1076854000","68540",EXCISION OF LACRIMAL GLAND TUMOR BY FRONTAL APPROACH,Excision of lacrimal gland tumor; frontal approach
"1076855000","68550",EXCISION OF LACRIMAL GLAND TUMOR WITH OSTEOTOMY,Excision of lacrimal gland tumor; involving osteotomy
"1076870000","68700",PLASTIC REPAIR OF CANALICULI,Plastic repair of canaliculi
"1076870500","68705",CAUTERY OF EVERTED PUNCTUM,"Correction of everted punctum, cautery"
"1076872000","68720",FISTULIZATION OF LACRIMAL SAC TO NASAL CAVITY,Dacryocystorhinostomy (fistulization of lacrimal sac to nasal cavity)
"1076874500","68745",FISTULIZATION OF CONJUNCTIVA TO NASAL CAVITY,Conjunctivorhinostomy (fistulization of conjunctiva to nasal cavity); without tube
"1076875000","68750",FISTULIZATION OF CONJUNCTIVA TO NASAL CAVITY WITH INSERTION OF TUBE,Conjunctivorhinostomy (fistulization of conjunctiva to nasal cavity); with insertion of tube or stent
"1076876000","68760",THERMOCAUTERIZATION OF LACRIMAL PUNCTUM,"Closure of the lacrimal punctum; by thermocauterization, ligation, or laser surgery"
"1076876100","68761",CLOSURE OF THE LACRIMAL PUNCTUM USING PLUG,"Closure of the lacrimal punctum; by plug, each"
"1076877000","68770",CLOSURE OF LACRIMAL FISTULA,Closure of lacrimal fistula (separate procedure)
"1076880100","68801",DILATION OF LACRIMAL PUNCTUM WITH IRRIGATION,"Dilation of lacrimal punctum, with or without irrigation"
"1076881000","68810",PROBING OF NASOLACRIMAL DUCT WITH IRRIGATION,"Probing of nasolacrimal duct, with or without irrigation"
"1076881100","68811",PROBING OF NASOLACRIMAL DUCT WITH IRRIGATION UNDER GENERAL ANESTHESIA,"Probing of nasolacrimal duct, with or without irrigation; requiring general anesthesia"
"1076881500","68815",PROBING OF NASOLACRIMAL DUCT WITH INSERTION OF TUBE AND IRRIGATION,"Probing of nasolacrimal duct, with or without irrigation; with insertion of tube or stent"
"1076881600","68816",PROBING OF NASOLACRIMAL DUCT WITH TRANSLUMINAL BALLOON CATHETER DILATION AND IRRIGATION,"Probing of nasolacrimal duct, with or without irrigation; with transluminal balloon catheter dilation"
"1076884000","68840",PROBING OF LACRIMAL CANALICULI WITH IRRIGATION,"Probing of lacrimal canaliculi, with or without irrigation"
"1076885000","68850",INJECTION OF CONTRAST MEDIUM FOR DACRYOCYSTOGRAPHY,Injection of contrast medium for dacryocystography
"1076889900","68899",PROCEDURE ON LACRIMAL SYSTEM,"Unlisted procedure, lacrimal system"
"1076900000","69000",DRAINAGE OF HEMATOMA OF EXTERNAL EAR,"Drainage external ear, abscess or hematoma; simple"
"1076900500","69005",DRAINAGE OF HEMATOMA OF EXTERNAL EAR,"Drainage external ear, abscess or hematoma; complicated"
"1076902000","69020",DRAINAGE OF ABSCESS OF EXTERNAL AUDITORY CANAL,"Drainage external auditory canal, abscess"
"1076909000","69090",EAR PIERCING,Ear piercing
"1076910000","69100",BIOPSY OF EXTERNAL EAR,Biopsy external ear
"1076910500","69105",BIOPSY OF EXTERNAL AUDITORY CANAL,Biopsy external auditory canal
"1076911000","69110",PARTIAL EXCISION OF EXTERNAL EAR WITH REPAIR,"Excision external ear; partial, simple repair"
"1076912000","69120",COMPLETE AMPUTATION OF EXTERNAL EAR,Excision external ear; complete amputation
"1076914000","69140",EXCISION OF EXOSTOSIS OF EXTERNAL AUDITORY CANAL,"Excision exostosis(es), external auditory canal"
"1076914500","69145",EXCISION OF SOFT TISSUE LESION OF EXTERNAL AUDITORY CANAL,"Excision soft tissue lesion, external auditory canal"
"1076915000","69150",RADICAL EXCISION OF LESION OF EXTERNAL AUDITORY CANAL,Radical excision external auditory canal lesion; without neck dissection
"1076915500","69155",RADICAL EXCISION OF LESION OF EXTERNAL AUDITORY CANAL WITH NECK DISSECTION,Radical excision external auditory canal lesion; with neck dissection
"1076920000","69200",REMOVAL OF FOREIGN BODY FROM EXTERNAL AUDITORY CANAL,Removal foreign body from external auditory canal; without general anesthesia
"1076920500","69205",REMOVAL OF FOREIGN BODY FROM EXTERNAL AUDITORY CANAL UNDER GENERAL ANESTHESIA,Removal foreign body from external auditory canal; with general anesthesia
"1076920900","69209",UNILATERAL REMOVAL OF IMPACTED CERUMEN BY IRRIGATION,"Removal impacted cerumen using irrigation/lavage, unilateral"
"1076921000","69210",REMOVAL OF IMPACTED CERUMEN FROM EAR,"Removal impacted cerumen requiring instrumentation, unilateral"
"1076922000","69220",DEBRIDEMENT OF MASTOIDECTOMY CAVITY,"Debridement, mastoidectomy cavity, simple (eg, routine cleaning)"
"1076922200","69222",DEBRIDEMENT OF MASTOIDECTOMY CAVITY,"Debridement, mastoidectomy cavity, complex (eg, with anesthesia or more than routine cleaning)"
"1076930000","69300",OTOPLASTY WITH SIZE REDUCTION FOR PROTRUDING EAR,"Otoplasty, protruding ear, with or without size reduction"
"1076931000","69310",RECONSTRUCTION OF EXTERNAL AUDITORY CANAL,"Reconstruction of external auditory canal (meatoplasty) (eg, for stenosis due to injury, infection) (separate procedure)"
"1076932000","69320",RECONSTRUCTION OF EXTERNAL AUDITORY CANAL FOR CONGENITAL ATRESIA,"Reconstruction external auditory canal for congenital atresia, single stage"
"1076939900","69399",PROCEDURE ON EXTERNAL EAR,"Unlisted procedure, external ear"
"1076942000","69420",MYRINGOTOMY WITH EUSTACHIAN TUBE INFLATION,Myringotomy including aspiration and/or eustachian tube inflation
"1076942100","69421",MYRINGOTOMY WITH EUSTACHIAN TUBE INFLATION UNDER GENERAL ANESTHESIA,Myringotomy including aspiration and/or eustachian tube inflation requiring general anesthesia
"1076942400","69424",REMOVAL OF VENTILATING TUBE UNDER GENERAL ANESTHESIA,Ventilating tube removal requiring general anesthesia
"1076943300","69433",TYMPANOSTOMY WITH INSERTION OF VENTILATING TUBE UNDER TOPICAL ANESTHESIA,"Tympanostomy (requiring insertion of ventilating tube), local or topical anesthesia"
"1077571600","75716","ANGIOGRAPHY, EXTREMITY, BILATERAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION","Angiography, extremity, bilateral, radiological supervision and interpretation"
"1077577400","75774","ANGIOGRAPHY, SELECTIVE, EACH ADDL VESSEL STUDIED AFTER BASIC EXAMINATION, RAD SUPERVISION & INTERP","Angiography, selective, each additional vessel studied after basic examination, radiological supervision and interpretation (List separately in addition to code for primary procedure)"
"1077582000","75820","VENOGRAPHY, EXTREMITY, UNILATERAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION","Venography, extremity, unilateral, radiological supervision and interpretation"
"1077582200","75822","VENOGRAPHY, EXTREMITY, BILATERAL, RADIOLOGICAL SUPERVISION AND INTERPRETATION","Venography, extremity, bilateral, radiological supervision and interpretation"
"1077589400","75894","TRANSCATHETER THERAPY, EMBOLIZATION, ANY METHOD, RAD SUPERVISION AND INTERPRETATION","Transcatheter therapy, embolization, any method, radiological supervision and interpretation"
"1077589800","75898","ANGIOGRAM THROUGH EXISTING CATHETER FOR FOLLOW-UP STUDY FOR TRANSCATHETER THERAPY, EMBOLIZATION OR","Angiography through existing catheter for follow-up study for transcatheter therapy, embolization or infusion, other than for thrombolysis"
"1077595200","75952","ENDOVASCULAR REPAIR OF INFRARENAL ABDOMINAL AORTIC ANEURYSM, OR DISSECTION, RADIOLOGICAL SUPERVISI","Endovascular repair of infrarenal abdominal aortic aneurysm or dissection, radiological supervision and interpretation"
"1077595300","75953",PLACEMENT PROXIMAL OR DISTAL EXTENSION PROSTHESIS FOR ENDOVASCULAR REPAIR INFRARENAL AORTIC OR ILI,"Placement of proximal or distal extension prosthesis for endovascular repair of infrarenal aortic or iliac artery aneurysm, pseudoaneurysm, or dissection, radiological supervision and interpretation"
"1077595400","75954","ENDOVASCULAR REPAIR OF ILIAC ARTERY ANEURYSM,AV MALFORMATION OR TRAUMA,RADIOLOGIC SUPERV. & INTERP","Endovascular repair of iliac artery aneurysm, pseudoaneurysm, arteriovenous malformation, or trauma, using ilio-iliac tube endoprosthesis, radiological supervision and interpretation"
"1077694200","76942","ULTRASONIC GUIDANCE FOR NEEDLE BIOPSY, RADIOLOGICAL SUPERVISION AND INTERPRETATION","Ultrasonic guidance for needle placement (eg, biopsy, aspiration, injection, localization device), imaging supervision and interpretation"
"1077696500","76965",ULTRASONIC GUIDANCE FOR INTERSTITIAL RADIOELEMENT APPLICATION,Ultrasonic guidance for interstitial radioelement application
"1077700100","77001","FLUOROSCOPIC GUIDANCE FOR CENTRAL VENOUS ACCESS DEVICE PLACEMENT, REPLACEMENT, OR REMOVAL","Fluoroscopic guidance for central venous access device placement, replacement (catheter only or complete), or removal (includes fluoroscopic guidance for vascular access and catheter manipulation, any necessary contrast injections through access site or c"
"1077700300","77003","FLUROSCOPE GUIDANCE, SPINE DIAGNOSE-THERAPY INJECTION",Fluoroscopic guidance and localization of needle or catheter tip for spine or paraspinous diagnostic or therapeutic injection procedures (epidural or subarachnoid) (List separately in addition to code for primary procedure)
"1077760500","77605","(RADIOLOGY CODE) - HYPERTHERMIA, EXTERNALLY GENERATED; DEEP (IE, HEATING TO DEPTHS GREATER THAN 4","Hyperthermia, externally generated; deep (ie, heating to depths greater than 4 cm)"
"1077776100","77761",INTRACAVITARY RADIOELEMENT APPLICATION; SIMPLE,Intracavitary radiation source application; simple
"1077776300","77763",(RADIOLOGY CODE)-  INTRACAVITARY RADIOELEMENT APPLICATION; COMPLEX,Intracavitary radiation source application; complex
"1077777800","77778",INTERSTITIAL RADIOELEMENT APPLICATION; COMPLEX,"Interstitial radiation source application, complex, includes supervision, handling, loading of radiation source, when performed"
"1077819500","78195",LYMPHATICS AND LYMPH NODES IMAGING,Lymphatics and lymph nodes imaging
"1079200200","92002",OPHTHALMOLOGICAL SERVICES;MED EXAM & EVALUATION W/ INITIATION OF TREATMENT PROG NEW PATIENT,"Ophthalmological services: medical examination and evaluation with initiation of diagnostic and treatment program; intermediate, new patient"
