Type,sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,codeSet,code,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn
non-surgical,1072284000,POSTERIOR NON-SEGMENTAL INSTRUMENTATION OF VERTEBRA BY SUBLAMINAR WIRING AT C1,865,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2103541,"Posterior non-segmental instrumentation (eg, Harrington rod technique, pedicle fixation across 1 interspace, atlantoaxial transarticular screw fixation, sublaminar wiring at C1, facet screw fixation) (List separately in addition to code for primary proced",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1072093000,PLACEMENT OF OSTEOPROMOTIVE MATERIAL FOR SPINAL SURGERY,1935,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.62509E+12,2102976,"Allograft, morselized, or placement of osteopromotive material, for spine surgery only (List separately in addition to code for primary procedure)",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1079594000,IONM 1 ON 1 IN OR W/ATTENDANCE EACH 15 MINUTES,682,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,43528024,"Continuous intraoperative neurophysiology monitoring in the operating room, one on one monitoring requiring personal attendance, each 15 minutes (List separately in addition to code for primary procedure)",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073052000,SUBMUCOUS RESECTION OF NASAL SEPTUM WITH REPLACEMENT USING GRAFT,2599,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.62507E+12,2106257,"Septoplasty or submucous resection, with or without cartilage scoring, contouring or replacement with graft",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073655800,INSERTION OF TUNNELED CENTRALLY INSERTED CENTRAL VENOUS CATHETER,1040,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2108202,"Insertion of tunneled centrally inserted central venous catheter, without subcutaneous port or pump; age 5 years or older",Procedure,MAPS_TO,,Sharon Nirenberg,1.6251E+12
non-surgical,1071577700,IMPLANTATION OF BIOLOGIC IMPLANT FOR REINFORCEMENT OF SOFT TISSUE OF TRUNK,922,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,42742492,"Implantation of biologic implant (eg, acellular dermal matrix) for soft tissue reinforcement (ie, breast, trunk) (List separately in addition to code for primary procedure)",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1074692400,DESTRUCTION OF LESION OF ANUS,863,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2109295,"Destruction of lesion(s), anus (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), extensive (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery)",Procedure,MAPS_TO,,Sharon Nirenberg,1.6251E+12
non-surgical,1070017000,ANESTHESIA FOR INTRAORAL PROCEDURES;INCLUDE BIOPSY NOT OTHERWISE SPECIFIED,1239,,,,0.72,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2100680,"Anesthesia for intraoral procedures, including biopsy; not otherwise specified",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073343000,"REPLACEMENT OF MITRAL VALVE, WITH CARDIOPULMONARY BYPASS",586,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2107159,"Replacement, mitral valve, with cardiopulmonary bypass",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073266600,SURGICAL THORACOSCOPY WITH THERAPEUTIC WEDGE RESECTION,547,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,42742513,"Thoracoscopy, surgical; with therapeutic wedge resection (eg, mass, nodule), initial unilateral",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1074965200,SURGICAL LAPAROSCOPY WITH REPAIR OF REDUCIBLE VENTRAL HERNIA USING MESH,1300,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2109518,"Laparoscopy, surgical, repair, ventral, umbilical, spigelian or epigastric hernia (includes mesh insertion, when performed); reducible",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1076161800,SECONDARY REPAIR OF DURA FOR CEREBROSPINAL FLUID LEAK IN POSTERIOR CRANIAL FOSSA USING TENSOR FASCIA LATA GRAFT,678,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2110514,"Secondary repair of dura for cerebrospinal fluid leak, anterior, middle or posterior cranial fossa following surgery of the skull base; by free tissue graft (eg, pericranium, fascia, tensor fascia lata, adipose tissue, homologous or synthetic grafts)",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1071930100,"MASTECTOMY, PARTIAL (EG, LUMPECTOMY, TYLECTOMY, QUADRANTECTOMY, SEGMENTECTOMY)",2527,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.62507E+12,2102720,"Mastectomy, partial (eg, lumpectomy, tylectomy, quadrantectomy, segmentectomy)",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1071912000,"EXCISION OF CYST, FIBROADENOMA, OR OTHER BENIGN OR MALIGNANT TUMOR, ABERRANT BREAST TISSUE, DUCT LESION, NIPPLE OR AREOLAR LESION, OPEN, MALE OR FEMALE, 1 OR MORE LESIONS",768,,,,0.86,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2102679,"Excision of cyst, fibroadenoma, or other benign or malignant tumor, aberrant breast tissue, duct lesion, nipple or areolar lesion (except 19300), open, male or female, 1 or more lesions",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1075235300,CYSTOURETHROSCOPY WITH URETEROSCOPY AND PYELOSCOPY AND LITHOTRIPSY,918,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2109817,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; with lithotripsy (ureteral catheterization is included)",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073127600,SURGICAL ENDOSCOPY OF NOSE AND SINUS WITH EXPLORATION OF FRONTAL SINUS AND REMOVAL OF TISSUE FROM FRONTAL SINUS,1459,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.62509E+12,2106410,"Nasal/sinus endoscopy, surgical, with frontal sinus exploration, including removal of tissue from frontal sinus, when performed",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1071931600,MASTOPEXY,675,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2102737,Mastopexy,Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073890000,INTRAOPERATIVE IDENTIFICATION OF SENTINEL LYMPH NODE WITH INJECTION OF NON-RADIOACTIVE DYE,1878,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.62509E+12,40757010,"Intraoperative identification (eg, mapping) of sentinel lymph node(s) includes injection of non-radioactive dye, when performed (List separately in addition to code for primary procedure)",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1071104300,"DEBRIDEMENT OF MUSCLE, INCLUDING EPIDERMIS, DERMIS, AND SUBCUTANEOUS TISSUE, FIRST 20 SQUARE CMS OR LESS",1373,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.62509E+12,2101926,"Debridement, muscle and/or fascia (includes epidermis, dermis, and subcutaneous tissue, if performed); first 20 sq cm or less",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1075815000,"TOTAL ABDOMINAL HYSTERECTOMY (CORPUS AND CERVIX), WITH OR WITHOUT REMOVAL OF TUBE(S), WITH OR WITHOUT REMOVAL OF OVARY(S)",1040,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2110175,"Total abdominal hysterectomy (corpus and cervix), with or without removal of tube(s), with or without removal of ovary(s)",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073162400,RIGID BRONCHOSCOPY WITH BRONCHIAL ALVEOLAR LAVAGE USING FLUOROSCOPIC GUIDANCE,1238,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2106586,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with bronchial alveolar lavage",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1075866200,"LAPAROSCOPY, SURGICAL; WITH FULGURATION OR EXCISION OF LESIONS OF THE OVARY, PELVIC VISCERA, OR PERITONEAL SURFACE BY ANY METHOD",1295,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2110241,"Laparoscopy, surgical; with fulguration or excision of lesions of the ovary, pelvic viscera, or peritoneal surface by any method",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073340500,"REPLACEMENT OF AORTIC VALVE USING PROSTHETIC VALVE, WITH CARDIOPULMONARY BYPASS",859,,,,0.98,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2107121,"Replacement, aortic valve, open, with cardiopulmonary bypass; with prosthetic valve other than homograft or stentless valve",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1075984000,INDUCTION OF ABORTION BY DILATATION OF CURETTAGE,756,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2110329,"Induced abortion, by dilation and curettage",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073165300,"FLEXIBLE BRONCHOSCOPY USING FLUOROSCOPIC GUIDANCE WITH ENDOBRONCHIAL ULTRASOUND GUIDED TRACHEAL AND TRANSBRONCHIAL SAMPLING OF HILAR LYMPH NODES, 3 OR MORE STATIONS OR STRUCTURES",753,,,,0.9,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,42627977,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with endobronchial ultrasound (EBUS) guided transtracheal and/or transbronchial sampling (eg, aspiration[s]/biopsy[ies]), 3 or more mediastinal and/or hilar lymph node stati",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1076999000,MICROSURGICAL PROCEDURE USING OPERATING MICROSCOPE,2504,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.62507E+12,2111282,"Microsurgical techniques, requiring use of operating microscope (List separately in addition to code for primary procedure)",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073014000,PARTIAL SUBMUCOUS RESECTION OF INFERIOR TURBINATE,1437,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.62509E+12,2106157,"Submucous resection inferior turbinate, partial or complete, any method",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073560000,HARVEST OF SINGLE UPPER EXTREMITY ARTERY SEGMENT FOR CORONARY ARTERY BYPASS PROCEDURE,1336,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.62509E+12,2107922,"Harvest of upper extremity artery, 1 segment, for coronary artery bypass procedure (List separately in addition to code for primary procedure)",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073351800,CORONARY ARTERY BYPASS USING 2 VENOUS GRAFTS,1227,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2107217,"Coronary artery bypass, vein only; 2 coronary venous grafts",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1075857300,SURGICAL LAPAROSCOPY WITH COMPLETE HYSTERECTOMY OF UTERUS GREATER THAN 250 G AND REMOVAL OF OVARY AND/OR TUBES,530,,,,0.85,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2110232,"Laparoscopy, surgical, with total hysterectomy, for uterus greater than 250 g; with removal of tube(s) and/or ovary(s)",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1077600000,FLUOROSCOPIC EXAMINATION,1428,,,,0.75,APPROVED,EQUAL,Sharon Nirenberg,1.62509E+12,2211668,"Fluoroscopy (separate procedure), up to 1 hour physician or other qualified health care professional time",Procedure,MAPS_TO,,Sharon Nirenberg,1.62509E+12
non-surgical,1072284200,POSTERIOR SEGMENTAL INSTRUMENTATION OF 3-6 VERTEBRAL SEGMENTS,1033,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2103553,"Posterior segmental instrumentation (eg, pedicle fixation, dual rods with multiple hooks and sublaminar wires); 3 to 6 vertebral segments (List separately in addition to code for primary procedure)",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,21,LUMBAR OR SCARAL (CAUDAL) EPIDURAL STEROID INJECTION,814,,,,0.66,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,42628690,"Injection(s), of diagnostic or therapeutic substance(s) (eg, anesthetic, antispasmodic, opioid, steroid, other solution), not including neurolytic substances, including needle or catheter placement, interlaminar epidural or subarachnoid, lumbar or sacral ",Procedure,MAPS_TO,,Sharon Nirenberg,1.6251E+12
non-surgical,1072988100,SURGICAL ARTHROSCOPY OF KNEE WITH MEDIAL MENISCECTOMY AND CHONDROPLASTY,1364,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.62509E+12,2106035,"Arthroscopy, knee, surgical; with meniscectomy (medial OR lateral, including any meniscal shaving) including debridement/shaving of articular cartilage (chondroplasty), same or separate compartment(s), when performed",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073690600,"PERCUTANEOUS INFUSION FOR THROMBOLYSIS OF DIALYSIS CIRCUIT AND TRANSCATHETER PLACEMENT OF INTRAVASCULAR STENT IN PERIPHERAL DIALYSIS SEGMENT USING FLUOROSCOPIC GUIDE, W DIAGN ANGIOGRAPHY OF DIALY CIRC",680,,,,0.92,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,42628057,"Percutaneous transluminal mechanical thrombectomy and/or infusion for thrombolysis, dialysis circuit, any method, including all imaging and radiological supervision and interpretation, diagnostic angiography, fluoroscopic guidance, catheter placement(s), ",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1071104400,"DEBRIDEMENT OF BONE, INCLUDING EPIDERMIS, DERMIS, SUBCUTANEOUS TISSUE, FASCIA, AND MUSCLE, FIRST 20 SQUARE CMS OR LESS",910,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2101927,"Debridement, bone (includes epidermis, dermis, subcutaneous tissue, muscle and/or fascia, if performed); first 20 sq cm or less",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1074626000,INTERNAL AND EXTERNAL HEMORRHOIDECTOMY,1279,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2109249,"Hemorrhoidectomy, internal and external, 2 or more columns/groups",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1071527500,"APPLICATION OF SKIN SUBSTITUTE GRAFT TO FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, ORBITS, GENITALIA, HANDS, FEET, AND/OR MULTIPLE DIGITS, TOTAL WOUND SURFACE AREA UP TO 100 SQ CM; FIRST 25 SQ CM OR LES",586,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,42742488,"Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073342600,"MITRAL VALVULOPLASTY USING PROSTHETIC RING, WITH CARDIOPULMONARY BYPASS",1294,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2107156,"Valvuloplasty, mitral valve, with cardiopulmonary bypass; with prosthetic ring",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1076158000,"CRANIOFACIAL APPROACH TO EXTRADURAL LESION OF ANTERIOR CRANIAL FOSSA, WITH LATERAL RHINOTOMY, ETHMOIDECTOMY, AND SPHENOIDECTOMY",664,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2110487,"Craniofacial approach to anterior cranial fossa; extradural, including lateral rhinotomy, ethmoidectomy, sphenoidectomy, without maxillectomy or orbital exenteration",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1076022000,UNILATERAL COMPLETE THYROID LOBECTOMY WITH ISTHMUSECTOMY,1313,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.62509E+12,2110369,"Total thyroid lobectomy, unilateral; with or without isthmusectomy",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1075235600,CYSTOURETHROSCOPY WITH URETEROSCOPY AND PYELOSCOPY AND LITHOTRIPSY WITH INSERTION OF DOUBLE-J STENT,2899,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.62507E+12,44816428,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; with lithotripsy including insertion of indwelling ureteral stent (eg, Gibbons or double-J type)",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1071912500,OPEN EXCISION OF SINGLE LESION OF BREAST IDENTIFIED BY PREOPERATIVE PLACEMENT OF RADIOLOGICAL MARKER,1794,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.62509E+12,2102680,"Excision of breast lesion identified by preoperative placement of radiological marker, open; single lesion",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073128800,SURGICAL ENDOSCOPY OF NOSE AND SINUS WITH SPHENOIDOTOMY AND REMOVAL OF TISSUE FROM SPHENOID SINUS,752,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2106422,"Nasal/sinus endoscopy, surgical, with sphenoidotomy; with removal of tissue from the sphenoid sinus",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1072742500,OPEN LATERAL RETINACULAR RELEASE OF KNEE,1071,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2105069,"Lateral retinacular release, open",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1071573400,FORMATION OF MYCOCUTANEOUS FLAP GRAFT OF TRUNK,1497,,,,0.89,APPROVED,EQUAL,Sharon Nirenberg,1.62509E+12,2102412,"Muscle, myocutaneous, or fasciocutaneous flap; trunk",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073722900,UNILATERAL PERCUTANEOUS ENDOVASCULAR REVASCULARIZATION OF TIBIAL ARTERY WITH ATHERECTOMY AND ANGIOPLASTY,895,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,40757057,"Revascularization, endovascular, open or percutaneous, tibial, peroneal artery, unilateral, initial vessel; with atherectomy, includes angioplasty within the same vessel, when performed",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1074932100,SURGICAL LAPAROSCOPY WITH BIOPSY,1490,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.62509E+12,2109452,"Laparoscopy, surgical; with biopsy (single or multiple)",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1072781400,OPEN REDUCTION OF FRACTURE OF MEDIAL AND POSTERIOR MALLEOLI OF ANKLE WITH INTERNAL FIXATION,528,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2105405,"Open treatment of bimalleolar ankle fracture (eg, lateral and medial malleoli, or lateral and posterior malleoli, or medial and posterior malleoli), includes internal fixation, when performed",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073872400,EXCISION OF CERVICAL LYMPH NODE WITH MODIFIED RADICAL DISSECTION OF NECK,1265,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2108482,Cervical lymphadenectomy (modified radical neck dissection),Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1075223500,"CYSTOURETHROSCOPY WITH RESECTION OF BLADDER TUMOR, 2.0 TO 5.0 CM",663,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2109775,"Cystourethroscopy, with fulguration (including cryosurgery or laser surgery) and/or resection of; MEDIUM bladder tumor(s) (2.0 to 5.0 cm)",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073080200,UNILATERAL ABLATION OF INTRAMURAL SOFT TISSUE OF INFERIOR TURBINATE,608,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2106288,"Ablation, soft tissue of inferior turbinates, unilateral or bilateral, any method (eg, electrocautery, radiofrequency ablation, or tissue volume reduction); intramural (ie, submucosal)",Procedure,MAPS_TO,,<auto>,1.62499E+12
