sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:CPT_CODE,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
1076227200,THERAPEUTIC SPINAL PUNCTURE WITH DRAINAGE OF CEREBROSPINAL FLUID USING NEEDLE,333,,62272,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308334960,2110610,"Spinal puncture, therapeutic, for drainage of cerebrospinal fluid (by needle or catheter)",Procedure,MAPS_TO,,<auto>,1627307681480,
1074713500,PARTIAL ORTHOTOPIC LIVER ALLOTRANSPLANTATION FROM LIVING DONOR,485,,47135,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308336893,2109321,"Liver allotransplantation, orthotopic, partial or whole, from cadaver or living donor, any age",Procedure,MAPS_TO,,<auto>,1627307681536,
1074421300,SURGICAL LAPAROSCOPY WITH MOBILIZATION OF SPLENIC FLEXURE AND PARTIAL COLECTOMY,311,,44213,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308338671,2109074,"Laparoscopy, surgical, mobilization (take-down) of splenic flexure performed in conjunction with partial colectomy (List separately in addition to primary procedure)",Procedure,MAPS_TO,,<auto>,1627307683069,
1071573800,FORMATION OF MYCOCUTANEOUS FLAP GRAFT OF LOWER EXTREMITY,216,,15738,0.90,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308340342,2102414,"Muscle, myocutaneous, or fasciocutaneous flap; lower extremity",Procedure,MAPS_TO,,<auto>,1627307683594,
1071527100,"APPLICATION OF SKIN SUBSTITUTE GRAFT, FIRST 25 SQ CM OF 100 SQ CM OR GREATER TOTAL WOUND SURFACE AREA",389,,15271,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308341957,42742484,"Application of skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area",Procedure,MAPS_TO,,<auto>,1627307683663,
1071932500,BREAST AUGMENTATION WITH IMPLANT,547,,19325,0.78,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308358165,2102740,"Mammaplasty, augmentation; with prosthetic implant",Procedure,MAPS_TO,,Sharon Nirenberg,1627308356572,
1075932000,"CERCLAGE OF CERVIX, DURING PREGNANCY BY VAGINAL APPROACH",353,,59320,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308361834,2110304,"Cerclage of cervix, during pregnancy; vaginal",Procedure,MAPS_TO,,<auto>,1627307684217,
1072775900,OPEN REDUCTION OF FRACTURE OF SHAFT OF TIBIA WITH FIXATION USING INTRAMEDULLARY IMPLANT WITH INTERLOCKING SCREWS AND CERCLAGE,192,,27759,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308367089,2105370,"Treatment of tibial shaft fracture (with or without fibular fracture) by intramedullary implant, with or without interlocking screws and/or cerclage",Procedure,MAPS_TO,,<auto>,1627307684418,
43,"RADIOLOGICAL EXAMINATION,SURGICAL SPECIMEN",320,,,0.76,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308380070,2211701,"Radiological examination, surgical specimen",Procedure,MAPS_TO,,<auto>,1627307685208,
1074920300,OPEN EXCISION OF PRIMARY RETROPERITONEAL TUMOR,238,,49203,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308383332,2109444,"Excision or destruction, open, intra-abdominal tumors, cysts or endometriomas, 1 or more peritoneal, mesenteric, or retroperitoneal primary or secondary tumors; largest tumor 5 cm diameter or less",Procedure,MAPS_TO,,<auto>,1627307685331,
1075235100,DIAGNOSTIC CYSTOURETHROSCOPY WITH URETEROSCOPY AND PYELOSCOPY,330,,52351,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308387547,2109815,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; diagnostic",Procedure,MAPS_TO,,<auto>,1627307685557,
1075007500,INCISION OF KIDNEY AND REMOVAL OF STAGHORN CALCULUS FILLING RENAL PELVIS AND CALYCES,425,,50075,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308389625,2109556,Nephrolithotomy; removal of large staghorn calculus filling renal pelvis and calyces (including anatrophic pyelolithotomy),Procedure,MAPS_TO,,<auto>,1627307685717,
1074282600,SECONDARY TONSILLECTOMY,350,,42826,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308404479,2108818,"Tonsillectomy, primary or secondary; age 12 or over",Procedure,MAPS_TO,,Sharon Nirenberg,1627308401969,
1073123700,SURGICAL ENDOSCOPY OF SINUS WITH POLYPECTOMY,670,,31237,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308412339,2106402,"Nasal/sinus endoscopy, surgical; with biopsy, polypectomy or debridement (separate procedure)",Procedure,MAPS_TO,,<auto>,1627307686305,
1076303500,"HEMILAMINECTOMY, PARTIAL FACETECTOMY, AND FORAMINOTOMY OF LUMBAR SPINE WITH EXCISION OF HERNIATED INTERVERTEBRAL DISC AND DECOMPRESSION OF NERVE ROOT",284,,63035,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308423291,2110645,"Laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; each additional interspace, cervical or lumbar (List separately in addition to code for primar",Procedure,MAPS_TO,,Sharon Nirenberg,1627308421688,
1074604000,INCISION AND DRAINAGE OF PERIRECTAL ABSCESS,482,,46040,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308433815,2109232,Incision and drainage of ischiorectal and/or perirectal abscess (separate procedure),Procedure,MAPS_TO,,Sharon Nirenberg,1627308432712,
1072343000,TENODESIS OF LONG HEAD OF BICEPS MUSCLE,380,,23430,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308628351,2103697,Tenodesis of long tendon of biceps,Procedure,MAPS_TO,,<auto>,1627307687263,
1071934200,INSERTION OR REPLACEMENT OF BREAST IMPLANT ON SEPARATE DAY FROM MASTECTOMY,797,,19342,0.52,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308660434,2102754,"Delayed insertion of breast prosthesis following mastopexy, mastectomy or in reconstruction",Procedure,MAPS_TO,,Sharon Nirenberg,1627308658632,
1074956100,REPAIR OF STRANGULATED VENTRAL HERNIA,216,,49561,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308665254,2109500,Repair initial incisional or ventral hernia; incarcerated or strangulated,Procedure,MAPS_TO,,<auto>,1627307687924,
1076160000,RESECTION OF EXTRADURAL VASCULAR LESION OF BASE OF ANTERIOR CRANIAL FOSSA,338,,61600,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308668769,2110501,"Resection or excision of neoplastic, vascular or infectious lesion of base of anterior cranial fossa; extradural",Procedure,MAPS_TO,,<auto>,1627307688171,
1073266600,SURGICAL THORACOSCOPY WITH THERAPEUTIC WEDGE RESECTION,545,,32666,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308671516,42742513,"Thoracoscopy, surgical; with therapeutic wedge resection (eg, mass, nodule), initial unilateral",Procedure,MAPS_TO,,<auto>,1627307689350,
1074510000,BIOPSY OF ANORECTAL WALL BY ANAL APPROACH,327,,45100,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308687486,2109149,"Biopsy of anorectal wall, anal approach (eg, congenital megacolon)",Procedure,MAPS_TO,,Sharon Nirenberg,1627308685990,
43,"RADIOLOGICAL EXAMINATION,SURGICAL SPECIMEN",320,,,0.76,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308706325,2211701,"Radiological examination, surgical specimen",Procedure,MAPS_TO,,<auto>,1627307689544,
1075180000,VESICAL FUNDUS RESECTION WITH WEDGE RESECTION OF POSTERIOR VESICAL NECK,190,,51800,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308713466,2109748,"Cystoplasty or cystourethroplasty, plastic operation on bladder and/or vesical neck (anterior Y-plasty, vesical fundus resection), any procedure, with or without wedge resection of posterior vesical neck",Procedure,MAPS_TO,,<auto>,1627307690942,
1072712500,PARTIAL HEMIARTHROPLASTY OF HIP WITH FEMORAL STEM PROSTHESIS,348,,27125,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308715808,2104835,"Hemiarthroplasty, hip, partial (eg, femoral stem prosthesis, bipolar arthroplasty)",Procedure,MAPS_TO,,<auto>,1627307691334,
1074958500,REPAIR OF REDUCIBLE UMBILICAL HERNIA,771,,49585,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308718208,2109508,"Repair umbilical hernia, age 5 years or older; reducible",Procedure,MAPS_TO,,<auto>,1627307691355,
1074250000,PRIMARY PLASTIC REPAIR OF SALIVARY DUCT,216,,42500,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308719838,2108777,"Plastic repair of salivary duct, sialodochoplasty; primary or simple",Procedure,MAPS_TO,,<auto>,1627307691493,
1075223500,"CYSTOURETHROSCOPY WITH RESECTION OF BLADDER TUMOR, 2.0 TO 5.0 CM",663,,52235,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308721454,2109775,"Cystourethroscopy, with fulguration (including cryosurgery or laser surgery) and/or resection of; MEDIUM bladder tumor(s) (2.0 to 5.0 cm)",Procedure,MAPS_TO,,<auto>,1627307692210,
1072748700,REVISION OF FEMORAL AND ENTIRE TIBIAL COMPONENTS OF TOTAL ARTHROPLASTY OF KNEE WITHOUT ALLOGRAFT,311,,27487,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308723148,2105129,"Revision of total knee arthroplasty, with or without allograft; femoral and entire tibial component",Procedure,MAPS_TO,,<auto>,1627307692235,
1072759000,AMPUTATION OF THIGH THROUGH FEMUR,327,,27590,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308724999,2105209,"Amputation, thigh, through femur, any level",Procedure,MAPS_TO,,<auto>,1627307692442,
1072090200,MAJOR BONE GRAFT,190,,20902,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308726398,2102959,"Bone graft, any donor area; major or large",Procedure,MAPS_TO,,<auto>,1627307692452,
1075826200,HYSTERECTOMY OF UTERUS UP TO 250 G WITH REMOVAL OF TUBE(S) AND/OR OVARY(S) BY VAGINAL APPROACH,425,,58262,0.76,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308743829,2110182,"Vaginal hysterectomy, for uterus 250 g or less; with removal of tube(s), and/or ovary(s)",Procedure,MAPS_TO,,Sharon Nirenberg,1627308736379,
1071524000,"FULL THICKNESS FREE GRAFT, HEAD, FACE, HAND, 20 SQ CM OR LESS, INCLUDING DIRECT CLOSURE OF DONOR SITE",238,,15240,0.91,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308747334,2102333,"Full thickness graft, free, including direct closure of donor site, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands, and/or feet; 20 sq cm or less",Procedure,MAPS_TO,,<auto>,1627307693685,
1073776500,"STAB PHLEBECTOMY OF VARICOSE VEINS OF EXTREMITY, WITH 10 TO 20 INCISIONS",379,,37765,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308749022,2108406,"Stab phlebectomy of varicose veins, 1 extremity; 10-20 stab incisions",Procedure,MAPS_TO,,<auto>,1627307693993,
1072093700,"MORSELIZED AUTOGRAFT OF BONE TO SPINE, INCLUDING HARVESTING OF GRAFT THROUGH SEPARATE SKIN INCISION",281,,20937,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308750678,2102979,Autograft for spine surgery only (includes harvesting the graft); morselized (through separate skin or fascial incision) (List separately in addition to code for primary procedure),Procedure,MAPS_TO,,<auto>,1627307694554,
1076026000,THYROIDECTOMY,237,,60260,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308790737,2110374,"Thyroidectomy, removal of all remaining thyroid tissue following previous removal of a portion of thyroid",Procedure,MAPS_TO,,Sharon Nirenberg,1627308789115,
1073175000,CERVICAL TRACHEOPLASTY,188,,31750,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308798354,2106643,Tracheoplasty; cervical,Procedure,MAPS_TO,,<auto>,1627307695097,
1074438000,DIAGNOSTIC ILEOSCOPY THROUGH STOMA WITH COLLECTION OF SPECIMEN BY WASHING,338,,44380,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308800028,2109102,"Ileoscopy, through stoma; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)",Procedure,MAPS_TO,,<auto>,1627307695264,
1075008000,PERCUTANEOUS PYELOSTOLITHOTOMY WITH STENTING,770,,50080,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308810437,2109557,"Percutaneous nephrostolithotomy or pyelostolithotomy, with or without dilation, endoscopy, lithotripsy, stenting, or basket extraction; up to 2 cm",Procedure,MAPS_TO,,Sharon Nirenberg,1627308808818,
1075231800,LITHOLAPAXY OF CALCULUS IN BLADDER AND REMOVAL OF FRAGMENTS,533,,52318,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308811958,2109795,Litholapaxy: crushing or fragmentation of calculus by any means in bladder and removal of fragments; complicated or large (over 2.5 cm),Procedure,MAPS_TO,,<auto>,1627307695864,
1072255100,"ARTHRODESIS BY ANTERIOR INTERBODY TECHNIQUE OF CERVICAL REGION BELOW C2, INCLUDING DISC SPACE PREPARATION, WITH DISCECTOMY, OSTEOPHYTECTOMY AND DECOMPRESSION OF SPINAL CORD AND NERVE ROOT",1255,,22551,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308813294,40756843,"Arthrodesis, anterior interbody, including disc space preparation, discectomy, osteophytectomy and decompression of spinal cord and/or nerve roots; cervical below C2",Procedure,MAPS_TO,,<auto>,1627307696223,
68,"TOTAL (ANTERIOR AND POSTERIOR),INCLUDING SPHENOIDOTOMY WITH REMOVAL OF TISSUE FROM THE SPHENOID SINUS",481,,,0.68,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309142441,725034,"Nasal/sinus endoscopy, surgical with ethmoidectomy; total (anterior and posterior), including sphenoidotomy, with removal of tissue from the sphenoid sinus",Procedure,MAPS_TO,,<auto>,1627307696239,
1072987700,SURGICAL ARTHROSCOPY OF KNEE WITH CHONDROPLASTY,216,,29877,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309146626,2106032,"Arthroscopy, knee, surgical; debridement/shaving of articular cartilage (chondroplasty)",Procedure,MAPS_TO,,<auto>,1627307696356,
1074627000,SURGICAL TREATMENT OF SUBCUTANEOUS ANAL FISTULA,343,,46270,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309148187,2109252,Surgical treatment of anal fistula (fistulectomy/fistulotomy); subcutaneous,Procedure,MAPS_TO,,<auto>,1627307696904,
1073011700,EXCISION OF INTRANASAL LESION BY INTERNAL APPROACH,326,,30117,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309155257,2106140,"Excision or destruction (eg, laser), intranasal lesion; internal approach",Procedure,MAPS_TO,,Sharon Nirenberg,1627309153548,
1073265000,SURGICAL THORACOSCOPY WITH PLEURODESIS,188,,32650,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309156574,2106806,"Thoracoscopy, surgical; with pleurodesis (eg, mechanical or chemical)",Procedure,MAPS_TO,,<auto>,1627307698924,
1076463600,DESTRUCTION OF SACRAL PARAVERTEBRAL FACET JOINT NERVE USING NEUROLYTIC AGENT AND USING FLUOROSCOPIC GUIDANCE,319,,64636,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309165843,42742547,"Destruction by neurolytic agent, paravertebral facet joint nerve(s), with imaging guidance (fluoroscopy or CT); lumbar or sacral, each additional facet joint (List separately in addition to code for primary procedure)",Procedure,MAPS_TO,,Sharon Nirenberg,1627309162665,
1075040500,"FOLEY Y-PYELOPLASTY, NEPHROSTOMY, AND NEPHROPEXY OF CONGENITALLY ABNORMAL KIDNEY",379,,50405,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309168204,2109605,"Pyeloplasty (Foley Y-pyeloplasty), plastic operation on renal pelvis, with or without plastic operation on ureter, nephropexy, nephrostomy, pyelostomy, or ureteral splinting; complicated (congenital kidney abnormality, secondary pyeloplasty, solitary kidn",Procedure,MAPS_TO,,<auto>,1627307700244,
1072529500,TENOLYSIS OF SINGLE FLEXOR TENDON OF WRIST,342,,25295,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309170271,2104161,"Tenolysis, flexor or extensor tendon, forearm and/or wrist, single, each tendon",Procedure,MAPS_TO,,<auto>,1627307700907,
1071006100,INCISION AND DRAINAGE OF SUPPURATIVE HIDRADENITIS,216,,10061,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309171839,2101878,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); complicated or multiple",Procedure,MAPS_TO,,<auto>,1627307701199,
1074265000,DILATION OF SALIVARY DUCT,188,,42650,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309177205,2108788,Dilation salivary duct,Procedure,MAPS_TO,,Sharon Nirenberg,1627309175958,
1076232100,"WITH IMAGING GUIDANCE (IE, FLUOROSCOPY OR CT)",325,,62321,0.54,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309199964,42627978,"Injection(s), of diagnostic or therapeutic substance(s) (eg, anesthetic, antispasmodic, opioid, steroid, other solution), not including neurolytic substances, including needle or catheter placement, interlaminar epidural or subarachnoid, cervical or thora",Procedure,MAPS_TO,,Sharon Nirenberg,1627309198201,
1076158000,"CRANIOFACIAL APPROACH TO EXTRADURAL LESION OF ANTERIOR CRANIAL FOSSA, WITH LATERAL RHINOTOMY, ETHMOIDECTOMY, AND SPHENOIDECTOMY",663,,61580,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309202462,2110487,"Craniofacial approach to anterior cranial fossa; extradural, including lateral rhinotomy, ethmoidectomy, sphenoidectomy, without maxillectomy or orbital exenteration",Procedure,MAPS_TO,,<auto>,1627307702469,
1072753500,OPEN REDUCTION OF UNICONDYLAR FRACTURE OF PROXIMAL TIBIAL PLATEAU WITH INTERNAL FIXATION,280,,27535,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309204240,2105185,"Open treatment of tibial fracture, proximal (plateau); unicondylar, includes internal fixation, when performed",Procedure,MAPS_TO,,<auto>,1627307703023,
1072982400,"ARTHROSCOPY, SHOULDER, SURGICAL; DISTAL CLAVICULECTOMY INCLUDING DISTAL ARTICULAR SURFACE (MUMFORD PROCEDURE)",338,,29824,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309206132,2105957,"Arthroscopy, shoulder, surgical; distal claviculectomy including distal articular surface (Mumford procedure)",Procedure,MAPS_TO,,<auto>,1627307704087,
61,"GASTROINTESTINAL TRACT IMAGING, INTRALUMINAL (EG, CAPSULE ENDOSCOPY), ESOPHAGUS THROUGH ILEUM, WITH INTERPRETATION AND REPORT",423,,,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309243716,2313624,"Gastrointestinal tract imaging, intraluminal (eg, capsule endoscopy), esophagus through ileum, with interpretation and report",Procedure,MAPS_TO,,<auto>,1627307704665,
1071104200,"DEBRIDEMENT OF SUBCUTANEOUS TISSUE, INCLUDING EPIDERMIS AND DERMIS, FIRST 20 SQUARE CMS OR LESS",1246,,11042,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309245508,2101925,"Debridement, subcutaneous tissue (includes epidermis and dermis, if performed); first 20 sq cm or less",Procedure,MAPS_TO,,<auto>,1627307704972,
1076131200,SUPRATENTORIAL CRANIOTOMY FOR EVACUATION OF SUBDURAL HEMATOMA,314,,61312,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309247365,2110419,"Craniectomy or craniotomy for evacuation of hematoma, supratentorial; extradural or subdural",Procedure,MAPS_TO,,<auto>,1627307705459,
1075857300,SURGICAL LAPAROSCOPY WITH COMPLETE HYSTERECTOMY OF UTERUS GREATER THAN 250 G AND REMOVAL OF OVARY AND/OR TUBES,530,,58573,0.85,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309265899,2110232,"Laparoscopy, surgical, with total hysterectomy, for uterus greater than 250 g; with removal of tube(s) and/or ovary(s)",Procedure,MAPS_TO,,<auto>,1627307705644,
1075587500,"TRANSPERINEAL PLACEMENT OF CATHETER INTO PROSTATE FOR APPLICATION OF INTERSTITIAL RADIOELEMENT, WITH CYSTOSCOPY",237,,55875,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309268248,2110047,"Transperineal placement of needles or catheters into prostate for interstitial radioelement application, with or without cystoscopy",Procedure,MAPS_TO,,<auto>,1627307705844,
1071912000,"EXCISION OF CYST, FIBROADENOMA, OR OTHER BENIGN OR MALIGNANT TUMOR, ABERRANT BREAST TISSUE, DUCT LESION, NIPPLE OR AREOLAR LESION, OPEN, MALE OR FEMALE, 1 OR MORE LESIONS",766,,19120,0.86,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309269713,2102679,"Excision of cyst, fibroadenoma, or other benign or malignant tumor, aberrant breast tissue, duct lesion, nipple or areolar lesion (except 19300), open, male or female, 1 or more lesions",Procedure,MAPS_TO,,<auto>,1627307706490,
1072988200,SURGICAL ARTHROSCOPY OF KNEE WITH REPAIR OF MEDIAL MENISCUS,342,,29882,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309280791,2106036,"Arthroscopy, knee, surgical; with meniscus repair (medial OR lateral)",Procedure,MAPS_TO,,<auto>,1627307706655,
1071500400,"SURGICAL PREPARATION OR CREATION OF RECIPIENT SITE BY EXCISION OF OPEN WOUNDS, BURN ESCHAR, OR SCAR (INCLUDING SUBCUTANEOUS TISSUES), OR INCISIONAL RELEASE OF SCAR CONTRACTURE, FACE, SCALP, EYELIDS, M",309,,15004,0.84,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309289926,2102273,"Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar (including subcutaneous tissues), or incisional release of scar contracture, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet and/or",Procedure,MAPS_TO,,Sharon Nirenberg,1627309288565,
1076188500,REPLACEMENT OF CRANIAL NEUROSTIMULATOR PULSE RECEIVER WITH INDUCTIVE COUPLING AND CONNECTION TO SINGLE ELECTRODE ARRAY,479,,61885,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309291697,2110564,"Insertion or replacement of cranial neurostimulator pulse generator or receiver, direct or inductive coupling; with connection to a single electrode array",Procedure,MAPS_TO,,<auto>,1627307708087,
1075854200,SURGICAL LAPAROSCOPY WITH SUPRACERVICAL HYSTERECTOMY OF UTERUS UP TO 250 G AND REMOVAL OF OVARY,377,,58542,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309293870,2110210,"Laparoscopy, surgical, supracervical hysterectomy, for uterus 250 g or less; with removal of tube(s) and/or ovary(s)",Procedure,MAPS_TO,,<auto>,1627307708533,
1074324400,UPPER GASTROINTESTINAL ENDOSCOPY WITH BAND LIGATION OF GASTRIC VARICES,215,,43244,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309295891,2108892,"Esophagogastroduodenoscopy, flexible, transoral; with band ligation of esophageal/gastric varices",Procedure,MAPS_TO,,<auto>,1627307708908,
1075234400,CYSTOURETHROSCOPY AND URETEROSCOPY WITH LASER TREATMENT OF URETERAL STRICTURE,188,,52344,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309297538,2109811,"Cystourethroscopy with ureteroscopy; with treatment of ureteral stricture (eg, balloon dilation, laser, electrocautery, and incision)",Procedure,MAPS_TO,,<auto>,1627307709065,
1074602000,PLACEMENT OF SETON,309,,46020,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627309298960,2109230,Placement of seton,Procedure,MAPS_TO,,<auto>,1627307709749,
