"ProcedureEpicId","Epic_name","concept_name","Code"
48673,DOMICIL/R-HOME VISIT NEW PAT,"Domiciliary or rest home visit for the evaluation and management of a new patient, which requires these 3 key components: A problem focused history; A problem focused examination; and Straightforward medical decision making. Counseling and/or coordination","99324"
6417,PARATHYROID HORMONE C TERMINAL,Parathormone (parathyroid hormone),"83970"
822,"ORBITAL REPOSITIONING, PERIORBITAL OSTEOTOMIES, UNILATERAL, WITH BONE GRAFTS; COMBINED INTRA- AND EXTRACRANIAL APPROACH","Orbital repositioning, periorbital osteotomies, unilateral, with bone grafts; combined intra- and extracranial approach","21268"
175472,NM GALLIUM SCAN TOTAL,"Radiopharmaceutical localization of tumor, inflammatory process or distribution of radiopharmaceutical agent(s) (includes vascular flow and blood pool imaging, when performed); planar, whole body, single day imaging","78802"
587,"DESTRUCTION, MALIGNANT LESION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT), SCALP, NECK, HANDS, FEET, GENITALIA; LESION DIAMETER 0.6 TO 1.0 CM","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter 0.6 to 1.0 cm","17271"
164954,"APPLICATION OF SKIN SUBSTITUTE GRAFT TO TRUNK, ARMS, LEGS, TOTAL WOUND SURFACE AREA GREATER THAN … AREA, OR 1% OF BODY AREA OF INFANTS AND CHILDREN","Application of skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of infants and children","15273"
766,"GENIOPLASTY; SLIDING OSTEOTOMIES, 2 OR MORE OSTEOTOMIES (EG, WEDGE EXCISION OR BONE WEDGE REVERSAL FOR ASYMMETRICAL CHIN)","Genioplasty; sliding osteotomies, 2 or more osteotomies (eg, wedge excision or bone wedge reversal for asymmetrical chin)","21122"
166349,RT CLEARANCE OF AIRWAY,Catheter aspiration (separate procedure); nasotracheal,"31720"
645,"BREAST RECONSTRUCTION WITH LATISSIMUS DORSI FLAP, WITHOUT PROSTHETIC IMPLANT","Breast reconstruction with latissimus dorsi flap, without prosthetic implant","19361"
167324,"PR ESRD SERVICES, PER MONTH, 20+ YR OLD, 1 VISIT","End-stage renal disease (ESRD) related services monthly, for patients 20 years of age and older; with 1 face-to-face visit by a physician or other qualified health care professional per month","90962"
159569,PINTO BEAN IGE,"Allergen specific IgE; quantitative or semiquantitative, crude allergen extract, each","86003"
2233,"PTERYGOMAXILLARY FOSSA SURGERY, ANY APPROACH","Pterygomaxillary fossa surgery, any approach","31040"
64542,HEMATOCRIT-ART (POCT),Blood count; hematocrit (Hct),"85014"
2501,"CARDIOTOMY, EXPLORATORY (INCLUDES REMOVAL OF FOREIGN BODY, ATRIAL OR VENTRICULAR THROMBUS); WITHOUT BYPASS","Cardiotomy, exploratory (includes removal of foreign body, atrial or ventricular thrombus); without bypass","33310"
172021,BLADDER ASPIRATION DIAG W/ CT,Aspiration of bladder; by trocar or intracatheter (Deprecated),"51005"
168454,"FLU VACCINE, 3YRS IM&ADULT","Influenza virus vaccine, trivalent (IIV3), split virus, 0.5 mL dosage, for intramuscular use","90658"
3841,"RENAL BIOPSY; PERCUTANEOUS, BY TROCAR OR NEEDLE","Renal biopsy; percutaneous, by trocar or needle","50200"
4018,"CYSTOURETHROSCOPY, WITH FULGURATION (INCLUDING CRYOSURGERY OR LASER SURGERY) AND/OR RESECTION OF; LARGE BLADDER TUMOR(S)","Cystourethroscopy, with fulguration (including cryosurgery or laser surgery) and/or resection of; LARGE bladder tumor(s)","52240"
166187,MMT 15 MINS,"Muscle testing, manual (separate procedure) with report; extremity (excluding hand) or trunk","95831"
1724,"ARREST, EPIPHYSEAL, ANY METHOD (EG, EPIPHYSIODESIS); DISTAL FEMUR","Arrest, epiphyseal, any method (eg, epiphysiodesis); distal femur","27475"
169736,I&D    PALATE OR UVULA,"Drainage of abscess of palate, uvula","42000"
124,"ANESTH,SURG LOW ABD,EXTRAPERINTONEAL","Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; not otherwise specified","00860"
417453,PR INSERT EMERGENCY ENDOTRACH AIRWAY,"Intubation, endotracheal, emergency procedure","31500"
7567,"COMBINED RIGHT HEART CATHETERIZATION AND RETROGRADE LEFT HEART CATHETERIZATION, FOR CONGENITAL CARDIAC ANOMALIES","Combined right heart catheterization and retrograde left heart catheterization, for congenital cardiac anomalies","93531"
38829,"FOCUSED ULTRASOUND ABLATION OF UTERINE LEIOMYOMATA, INCLUDING MR GUIDANCE; TOTAL LEIOMYOMATA VOLUME GREATER OR EQUAL TO 200 CC OF TISSUE","Focused ultrasound ablation of uterine leiomyomata, including MR guidance; total leiomyomata volume greater or equal to 200 cc of tissue","0072T"
172382,PLACEMNT AMNIOTIC MEMBRANE OCULAR SURFACE SINGLE LAYER,"Placement of amniotic membrane on the ocular surface; single layer, sutured","65779"
1989,"OSTEOTOMY, WITH OR WITHOUT LENGTHENING, SHORTENING OR ANGULAR CORRECTION, METATARSAL; OTHER THAN FIRST METATARSAL, EACH","Osteotomy, with or without lengthening, shortening or angular correction, metatarsal; other than first metatarsal, each","28308"
4675,"CREATION OF LESION BY STEREOTACTIC METHOD, PERCUTANEOUS, BY NEUROLYTIC AGENT (EG, ALCOHOL, THERMAL, ELECTRICAL, RADIOFREQUENCY); GASSERIAN GANGLION","Creation of lesion by stereotactic method, percutaneous, by neurolytic agent (eg, alcohol, thermal, electrical, radiofrequency); gasserian ganglion","61790"
3089,"EXCISION OF FRENUM, LABIAL OR BUCCAL (FRENUMECTOMY, FRENULECTOMY, FRENECTOMY)","Excision of frenum, labial or buccal (frenumectomy, frenulectomy, frenectomy)","40819"
3940,"URETERAL ENDOSCOPY THROUGH ESTABLISHED URETEROSTOMY, WITH OR WITHOUT IRRIGATION, INSTILLATION, OR…SERVICE; WITH REMOVAL OF FOREIGN BODY OR CALCULUS","Ureteral endoscopy through established ureterostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with removal of foreign body or calculus","50961"
2653,"INSERTION OF INTRA-AORTIC BALLOON ASSIST DEVICE, PERCUTANEOUS","Insertion of intra-aortic balloon assist device, percutaneous","33967"
794,"RECONSTRUCTION OF MANDIBULAR RAMI, HORIZONTAL, VERTICAL, C, OR L OSTEOTOMY; WITHOUT BONE GRAFT","Reconstruction of mandibular rami, horizontal, vertical, C, or L osteotomy; without bone graft","21193"
172494,ESOPHAGEAL PLASTIC TUBE OR STE,"Esophagoscopy, flexible, transoral; with placement of endoscopic stent (includes pre- and post-dilation and guide wire passage, when performed)","43212"
144794,TRANSCATHETER THERAPY INFUSION NON-THROMBOLYTIC,"Transcatheter therapy, infusion, other than for thrombolysis, radiological supervision and interpretation","75896"
336,"EXCISION, OTHER BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER 0.6 TO 1.0 CM","Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 0.6 to 1.0 cm","11441"
2320,LARYNGEAL REINNERVATION BY NEUROMUSCULAR PEDICLE,Laryngeal reinnervation by neuromuscular pedicle,"31590"
1433,"LENGTHENING OF TENDON, EXTENSOR, HAND OR FINGER, EACH TENDON","Lengthening of tendon, extensor, hand or finger, each tendon","26476"
174962,CSF FLOW STUDY HEAD,"Magnetic resonance angiography, head; without contrast material(s)","70544"
169200,CLOSED    TX PROX.HUMERUS W/O,Closed treatment of proximal humeral (surgical or anatomical neck) fracture; without manipulation,"23600"
203826,CENTR MOTOR EVOKED UPPR LIMBS,Central motor evoked potential study (transcranial motor stimulation); upper limbs,"95928"
